Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.LTP.Classified,Taxonomy.LTP.superkingdom,Taxonomy.LTP.unknown 0,Taxonomy.LTP.class,Taxonomy.LTP.order,Taxonomy.LTP.family,Taxonomy.LTP.unknown 1,Taxonomy.LTP.unknown 2,Taxonomy.LTP.phylum
Taylorella asinigenitalis,AB264283,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_159,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Taylorella asinigenitalis,AB264284,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_160,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Taylorella asinigenitalis,AB264285,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_161,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Taylorella asinigenitalis,AB264286,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_162,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Taylorella asinigenitalis,AB264287,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_163,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Taylorella asinigenitalis,AB264288,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_164,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Taylorella asinigenitalis,AB264289,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_165,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Taylorella asinigenitalis,AB264290,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_166,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Taylorella asinigenitalis,AB264291,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_167,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,
Pseudomonas fluorescens,AF134704,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_652,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Treponema denticola,AF179264,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_751,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,,Treponemataceae,,
Treponema phagedenis,AF179266,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_752,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,,Treponemataceae,,
Neisseria gonorrhoeae,AF223396,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_783,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,,,
Neisseria gonorrhoeae,AF223397,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_784,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,,,
Neisseria gonorrhoeae,AF223398,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_785,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,,,
Neisseria gonorrhoeae,AF223399,74,32,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_786,--,Yes,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,,,
Pectobacterium wasabiae,AF234277,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_789,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,,,
Fusobacterium necrophorum subsp. necrophorum,AF369872,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_949,--,Yes,Bacteria,Fusobacteriota,Fusobacteriia,,,Fusobacteriotales,Fusobacteriotaceae,
Carnobacterium gallinarum,AF374288,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_952,--,Yes,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,,,
Carnobacterium mobile,AF374290,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_953,--,Yes,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,,,
Treponema medium,AF378326,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_960,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,,Treponemataceae,,
Fusobacterium necrophorum subsp. necrophorum,AF410963,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1029,--,Yes,Bacteria,Fusobacteriota,Fusobacteriia,,,Fusobacteriotales,Fusobacteriotaceae,
Fusobacterium necrophorum subsp. necrophorum,AF410965,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1030,--,Yes,Bacteria,Fusobacteriota,Fusobacteriia,,,Fusobacteriotales,Fusobacteriotaceae,
Fusobacterium necrophorum subsp. necrophorum,AF410970,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1031,--,Yes,Bacteria,Fusobacteriota,Fusobacteriia,,,Fusobacteriotales,Fusobacteriotaceae,
Corynebacterium glutamicum,AF435074,74,30,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_1064,--,Yes,Bacteria,Actinomycetota,,,Corynebacteriaceae,Mycobacteriales,,Actinobacteria
Borrelia burgdorferi,AF467855,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1083,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467856,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1084,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467857,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1085,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467858,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1086,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467859,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1087,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467860,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1088,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467861,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1089,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467862,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1090,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467863,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1091,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467864,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1092,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467865,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1093,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Borrelia burgdorferi,AF467866,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1094,--,Yes,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,,,
Bacillus amyloliquefaciens,AF478079,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1096,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Bacillus licheniformis,AF478087,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1098,--,Yes,Bacteria,Bacillota,Bacilli,,Bacillaceae,Caryophanales,,
Brevibacillus borstelensis,AF478092,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1099,--,Yes,Bacteria,Bacillota,Bacilli,,Paenibacillaceae,Caryophanales,,
Brevibacillus borstelensis,AF478093,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1100,--,Yes,Bacteria,Bacillota,Bacilli,,Paenibacillaceae,Caryophanales,,
Brevibacillus parabrevis,AF478097,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1101,--,Yes,Bacteria,Bacillota,Bacilli,,Paenibacillaceae,Caryophanales,,
Acetobacter aceti,AJ007831,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1299,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,
Gluconacetobacter liquefaciens,AJ007833,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1301,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,
Acetobacter pasteurianus,AJ007834,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1302,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,
Streptomyces violaceoruber,AJ011500,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1303,--,Yes,Bacteria,Actinomycetota,,Streptomycetales,Streptomycetaceae,,,Actinobacteria
Pseudomonas stutzeri,AJ251900,75,33,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_1327,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Pseudomonas stutzeri,AJ251901,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1328,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Pseudomonas stutzeri,AJ251902,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1329,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Pseudomonas stutzeri,AJ251903,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1330,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Pseudomonas stutzeri,AJ251904,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1331,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
Pseudomonas stutzeri,AJ251905,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1332,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,
